Titulo,Autor,Ano
А снег идёт,,
Бомбардировщики,,
Вальс расставания,Я.Френкель / К.Ваншенкин,1965
Весна идёт,,
Все стало вокруг голубым и зелёным,,
В парке Чаир,,
"Где же вы теперь, друзья однополчане",А. Фатьянов / В. Соловьёв-Седой,1947
Главное ребята сердцем не стареть,А. Пахмутова / С. Гребенников / Н. Добронравов,1962
"Гори, гори, моя звезда",,
Да разве сердце позабудет,,
Джон Грей,,
Дорогие мои москвичи,,
Журавли,Я.Френкель / Р.Гамзатов / Н.Гребнев,1965
Закон Архимеда наоборот,,
Зима,,
Колыбельная,,
Ландыши,,
Луна,,
Любимый город,Н. Богословский / Е. Долматовский,
Люблю / Вдыхая розы аромат,,
Мишка с куклой,,
Нам нужна одна победа,Б. Окуджава,
Песенка о медведях,,
Песня о Москве (Лучший город земли),,
Пой мне,,
Портрет,,
Радостный день,,
Романс,,
Сердце / Как много девушек хороших,,
Старый рояль,,
Уходит вечер,,
Цветущий Май,,
Шаланды,,
Эти глаза напротив,,
Я шагаю по Москве,,
12th Street Rag,Euday L. Bowman,1914
26 – 2,John Coltrane,1960
42nd Street,Harry Warren / Al Dublin,1933
500 Miles High,Chick Corea / Neville Potter,1972
502 Blues,Jimmy Rowles,1958
52nd Street Theme,Th. Monk,1944
9:20 Special,Earle Warren / Jack Palmer / William Engvick,1941
"Beautiful Friendship, A",Donald Kahn / Stanley Styne,
A Bientot,Billy Taylor,1988
A Chicken Ain’t Nothing But A Bird,,
A Felicidade,,
A Fine Romance,,
A Foggy Day,,
A Lot of Livin’ to Do,Charles Strouse / Lee Adams,
A Night in Tunisia,,
A Smooth One,,
A Song for Nicholas,,
A Sound For Sore Ears,,
A Sunbonnet Blue,,
A Time For Love,Johnny Mande / Paul Francis Webster,1966
"A-Tisket, A-Tasket",,
About A Quarter To Nine,Harry Warren / Al Dubin,1935
Ac-Cent-Tchu-Ate The Positive,Harold Arlen / Johnny Mercer,1944
Ac-Dc Current,Benny Goodman / Lionel Hampton / Charlie Christian,1937
Ace in the Hole,Cole Porter,1941
Across The Alley From The Alamo,Joe Greene,1946
Adagio,,
Adam`s Apple,Wayne Shorter,1966
Africa,John Coltrane,1961
African Queen,Horace Silver,1966
Afro Blue,Mongo Santamaria,1959
Afro Centric,Joe Henderson,
After You`ve Gone,"Turner Layton, Henry Creamer",1918
Afternoon In Paris,John Lewis,1949
Água de Beber,,
Ah-Leu-Cha (duo),,
Ah-Leu-Cha,,
Ain`t Misbehavin,,
Ain’t Nobody’s Bizness If I Do,Porter Grainger / Everett Robbins,1922
Ain`t She Sweet,,
Airegin,,
Airmail Special,,
Aisha,,
Alcoholic Blues,Albert Von Tilzer / Edward Laska,1919
Alexander`s Ragtime Band,,
Alfie,,
Alfie`s Theme,,
Alice In Wonderland,,
All About Ronnie,,
All Blues,,
All God’s Chillun Got Rhythm,,
All My Tomorrows,,
All Of Me,,
All Of You,,
All Or Nothing At All,,
All The Things You Are,Jerome Kern / Oscar Hammerstein II,1939
All Too Soon,,
Almost like being in love,,
Alone Together,,
Along Came Betty,,
Always And Forever,,
Always On My Mind,,
Am I Blue,,
Amapola,,
Amazing Grace,,
Among My Souvenirs,,
An Old Water Mill,Jack Scholl / Charles Tobias / Murray Mencher,1934
Ana Maria,,
And On The Third Day,,
Angel Eyes,,
Angelica (Purple Gazelle),,
"Answer Me, My Love",Gerhard Winkler / Carl Sigman,1952
Anthropology,,
Any Time,,
Anything Goes,Cole Porter,1934
Apple Core,,
April In Paris,Vernon Duke / E.Y. Harburg,1932
Aquarela do Brasil,,
Are You Real,Benny Golson,1959
Armando’s Rhumba,,
As Long as I Live,,
As Time Goes By,Herman Hupfeld,1931
At the Georgia Camp Meeting,,
At The Jazz Band Ball,,
Au Privave,Charlie Parker,1951
Autumn in NY,,
Autumn Leaves,Joseph Kosma / Johnny Mercer,1945
Avalon,,
Baby What You Want Me To Do,,
"Baby, won`t you please come home",,
Badinerie,,
Barbados,,
Basin Street Blues,,
Beale Street Blues,,
Beautiful Love,,
Bebop,,
Bei Mir Bist Du Shoen,,
Bernie’s Tune,Bernie Miller / Jerry Leiber / Mike Stoller,1952
Bésame Mucho,Consuelo Velázquez,1940
Between The Devil And The Deep Blue Sea,,
Bewitched,,
Beyond the Sea,Charles Trenet / Jack Lawrence / Albert Lasry,1946
Bidin’ My Time,George Gershwin / Ira Gershwin,1930
Bill Bailey,,
Billie`s bounce,,
