titulo,autor,ano,status,busca
Titulo,Autor,Ano,0,
А снег идёт,,,1,titulo
Бомбардировщики,,,1,titulo
Вальс расставания,Я.Френкель / К.Ваншенкин,1965,1,completa
Весна идёт,,,1,titulo
Все стало вокруг голубым и зелёным,,,1,titulo
В парке Чаир,,,1,titulo
"Где же вы теперь, друзья однополчане",А. Фатьянов / В. Соловьёв-Седой,1947,1,completa
Главное ребята сердцем не стареть,А. Пахмутова / С. Гребенников / Н. Добронравов,1962,1,completa
"Гори, гори, моя звезда",,,1,titulo
Да разве сердце позабудет,,,1,titulo
Джон Грей,,,1,titulo
Дорогие мои москвичи,,,1,titulo
Журавли,Я.Френкель / Р.Гамзатов / Н.Гребнев,1965,1,completa
Закон Архимеда наоборот,,,1,titulo
Зима,,,0,
Колыбельная,,,0,
Ландыши,,,1,titulo
Луна,,,1,titulo
Любимый город,Н. Богословский / Е. Долматовский,,1,completa
Люблю / Вдыхая розы аромат,,,0,
Мишка с куклой,,,1,titulo
Нам нужна одна победа,Б. Окуджава,,1,completa
Песенка о медведях,,,1,titulo
Песня о Москве (Лучший город земли),,,1,titulo
Пой мне,,,1,titulo
Портрет,,,1,titulo
Радостный день,,,1,titulo
Романс,,,1,titulo
Сердце / Как много девушек хороших,,,0,
Старый рояль,,,1,titulo
Уходит вечер,,,1,titulo
Цветущий Май,,,1,titulo
Шаланды,,,1,titulo
Эти глаза напротив,,,1,titulo
Я шагаю по Москве,,,1,titulo
12th Street Rag,Euday L. Bowman,1914,1,completa
26 – 2,John Coltrane,1960,1,completa
42nd Street,Harry Warren / Al Dublin,1933,1,completa
500 Miles High,Chick Corea / Neville Potter,1972,1,completa
502 Blues,Jimmy Rowles,1958,1,completa
52nd Street Theme,Th. Monk,1944,1,completa
9:20 Special,Earle Warren / Jack Palmer / William Engvick,1941,0,
"Beautiful Friendship, A",Donald Kahn / Stanley Styne,,1,completa
A Bientot,Billy Taylor,1988,1,completa
A Chicken Ain’t Nothing But A Bird,,,1,titulo
A Felicidade,,,1,titulo
A Fine Romance,,,1,titulo
A Foggy Day,,,1,titulo
A Lot of Livin’ to Do,Charles Strouse / Lee Adams,,1,completa
